strategy,ticker,period,observations,trades,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate
breakout_20d,TLT,covid_crash,23,8,0.050421,0.714226,0.278472,2.564804,-0.05177,0.6
buy_and_hold,TLT,covid_rebound,449,1,-0.066003,-0.037598,0.136873,-0.274692,-0.213458,0.477679
sma_trend_following,TLT,covid_rebound,449,9,0.010315,0.005776,0.096468,0.059875,-0.096332,0.497653
rsi_mean_reversion,TLT,covid_rebound,449,34,0.03411,0.019003,0.059475,0.319515,-0.058768,0.540541
breakout_20d,TLT,covid_rebound,449,48,-0.111085,-0.063952,0.042372,-1.509297,-0.115451,0.314286
buy_and_hold,TLT,inflation_bear_2022,196,1,-0.293681,-0.360474,0.194809,-1.850401,-0.299839,0.466667
sma_trend_following,TLT,inflation_bear_2022,196,4,-0.053785,-0.068614,0.070419,-0.974371,-0.073455,0.4
rsi_mean_reversion,TLT,inflation_bear_2022,196,38,-0.015724,-0.020171,0.121085,-0.166586,-0.081104,0.541667
breakout_20d,TLT,inflation_bear_2022,196,6,-0.049972,-0.063786,0.033344,-1.912959,-0.049972,0.0
buy_and_hold,TLT,ai_bull_2023_2024,502,1,-0.073288,-0.037487,0.163498,-0.229283,-0.224456,0.500998
sma_trend_following,TLT,ai_bull_2023_2024,502,12,0.094643,0.04644,0.108765,0.426981,-0.104228,0.502222
rsi_mean_reversion,TLT,ai_bull_2023_2024,502,47,-0.007459,-0.003751,0.076488,-0.049043,-0.099979,0.514019
breakout_20d,TLT,ai_bull_2023_2024,502,54,-0.071387,-0.036497,0.055954,-0.652263,-0.114556,0.470588
buy_and_hold,TLT,chop_2015_2016,198,1,0.098606,0.127147,0.15109,0.841532,-0.068738,0.558376
sma_trend_following,TLT,chop_2015_2016,198,7,0.044278,0.05669,0.099307,0.570859,-0.093945,0.545455
rsi_mean_reversion,TLT,chop_2015_2016,198,12,-0.020449,-0.025953,0.061079,-0.424913,-0.04449,0.586207
breakout_20d,TLT,chop_2015_2016,198,31,-0.087783,-0.110356,0.057829,-1.908325,-0.110283,0.444444
buy_and_hold,TLT,chop_2018,230,1,0.007732,0.008474,0.091914,0.0922,-0.079224,0.49345
sma_trend_following,TLT,chop_2018,230,7,-0.02351,-0.02573,0.051199,-0.502544,-0.066002,0.5
rsi_mean_reversion,TLT,chop_2018,230,28,-0.030155,-0.032991,0.047601,-0.693077,-0.051659,0.491228
breakout_20d,TLT,chop_2018,230,25,0.047852,0.052548,0.039349,1.335407,-0.018277,0.6
buy_and_hold,XLE,full_sample,6848,1,9.029645,0.088545,0.286371,0.309197,-0.712477,0.512633
sma_trend_following,XLE,full_sample,6848,165,0.27763,0.009057,0.18685,0.048471,-0.487454,0.506335
rsi_mean_reversion,XLE,full_sample,6848,466,0.263533,0.008645,0.15175,0.056968,-0.575037,0.51134
breakout_20d,XLE,full_sample,6848,1057,-0.657201,-0.038631,0.086642,-0.445877,-0.685016,0.489362
buy_and_hold,XLE,dotcom_bear,638,1,-0.237335,-0.101488,0.272814,-0.372006,-0.415264,0.478807
sma_trend_following,XLE,dotcom_bear,638,20,-0.145363,-0.060158,0.165983,-0.362435,-0.291234,0.491103
rsi_mean_reversion,XLE,dotcom_bear,638,62,0.045578,0.01776,0.132853,0.133684,-0.256678,0.471154
breakout_20d,XLE,dotcom_bear,638,52,-0.018775,-0.007458,0.065538,-0.1138,-0.139567,0.509434
buy_and_hold,XLE,post_dotcom_bull,1258,1,2.898772,0.313329,0.217163,1.442826,-0.164248,0.53222
sma_trend_following,XLE,post_dotcom_bull,1258,29,0.630773,0.102926,0.178163,0.577707,-0.220738,0.514317
rsi_mean_reversion,XLE,post_dotcom_bull,1258,56,0.096116,0.018554,0.076185,0.243534,-0.087833,0.52
breakout_20d,XLE,post_dotcom_bull,1258,262,-0.126877,-0.026813,0.079627,-0.336733,-0.187813,0.476
buy_and_hold,XLE,gfc_bear,355,1,-0.485867,-0.376403,0.562017,-0.669736,-0.573745,0.522599
sma_trend_following,XLE,gfc_bear,355,10,-0.238182,-0.175613,0.248027,-0.708042,-0.269994,0.537037
rsi_mean_reversion,XLE,gfc_bear,355,23,-0.016963,-0.012071,0.3209,-0.037616,-0.21152,0.533333
breakout_20d,XLE,gfc_bear,355,42,-0.193832,-0.141826,0.109748,-1.292286,-0.197302,0.475
buy_and_hold,XLE,post_gfc_bull,2756,1,0.798762,0.055149,0.223581,0.246665,-0.467573,0.503085
sma_trend_following,XLE,post_gfc_bull,2756,62,-0.207865,-0.021082,0.156783,-0.134463,-0.424232,0.492481
rsi_mean_reversion,XLE,post_gfc_bull,2756,198,0.225705,0.018783,0.116681,0.160978,-0.16147,0.515351
breakout_20d,XLE,post_gfc_bull,2756,402,-0.16268,-0.016103,0.068478,-0.235163,-0.186114,0.491139
buy_and_hold,XLE,covid_crash,23,1,-0.560427,-0.999877,1.095091,-0.913054,-0.562088,0.318182
sma_trend_following,XLE,covid_crash,23,0,0.0,0.0,0.0,0.0,0.0,0.0
