period,strategy,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,trades
inflation_bear_2022,breakout_20d,-0.036715500000000005,-0.04645783333333333,0.06993733333333334,-0.5349911666666667,-0.0690615,0.36833333333333335,24.333333333333332
inflation_bear_2022,buy_and_hold,-0.104231,-0.11916516666666667,0.24630649999999998,-0.6788555,-0.26093133333333335,0.48376083333333336,1.0
inflation_bear_2022,sma_trend_following,-0.06722666666666667,-0.08325083333333333,0.14960166666666666,-0.7780761666666667,-0.17048333333333332,0.47089966666666666,5.0
inflation_bear_2022,regime_defensive_rotation,-0.161745,-0.202953,0.159305,-1.273992,-0.18497,0.471795,16.0
post_dotcom_bull,top2_relative_strength_rotation,0.733849,0.210176,0.135787,1.547829,-0.100073,0.570605,219.0
post_dotcom_bull,buy_and_hold,1.4168166666666666,0.19431050000000002,0.16256533333333334,1.1446626666666668,-0.1714726666666667,0.54078,1.0
post_dotcom_bull,regime_defensive_rotation,0.335395,0.105453,0.108622,0.970822,-0.121514,0.564254,86.0
post_dotcom_bull,sma_trend_following,0.5067536666666667,0.08543483333333333,0.12855566666666665,0.6604411666666666,-0.17197033333333334,0.536032,24.666666666666668
post_dotcom_bull,dual_momentum_rotation,0.309422,0.097952,0.185589,0.527789,-0.266138,0.541076,111.0
post_dotcom_bull,rsi_mean_reversion,0.07868733333333333,0.0153195,0.058900666666666664,0.23777066666666666,-0.10584966666666666,0.5312938333333334,67.66666666666667
post_dotcom_bull,breakout_20d,-0.14194366666666666,-0.03267866666666667,0.06345666666666666,-0.5732326666666666,-0.19605966666666666,0.5157128333333333,215.5
post_gfc_bull,regime_defensive_rotation,2.887921,0.132197,0.12072,1.095065,-0.135445,0.552087,372.0
post_gfc_bull,buy_and_hold,3.2675258333333335,0.120913,0.16533083333333334,0.7551901666666666,-0.28469133333333335,0.5358740000000001,1.0
post_gfc_bull,rsi_mean_reversion,0.5012813333333334,0.03419233333333333,0.074381,0.49762466666666666,-0.13594633333333334,0.5637673333333333,177.66666666666666
post_gfc_bull,sma_trend_following,0.9419163333333334,0.0551245,0.12489499999999999,0.46322,-0.26064899999999996,0.534571,57.166666666666664
post_gfc_bull,top2_relative_strength_rotation,0.721498,0.050922,0.124257,0.409812,-0.319753,0.533234,884.0
post_gfc_bull,dual_momentum_rotation,0.971498,0.064033,0.163854,0.390795,-0.301732,0.522323,544.0
post_gfc_bull,breakout_20d,-0.07254333333333333,-0.009431333333333333,0.056625166666666664,-0.1688166666666667,-0.23104783333333334,0.5239025,459.1666666666667
